folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp,freq_resolution,ER_blow_off,U_blow_off_m_per_s,blowoff_dt_s
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,5,4,0.9337015852385512,0.1938743568937135,1.0048953252717276,0.1604227925762269,0.750,0.0819555963455473,0.1666666666666666,0.5537688442211055,9.298013245033111,0.160992
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,4,3,1.044834183073756,1.1527598887629011,1.220470711143874,0.936288488898734,0.6000000000000001,0.1115367598351205,0.1999999999999999,0.5619718309859156,9.130242825607063,0.008785
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,17,16,1.6187932179848736,0.3970602521309151,1.8573613994306812,0.3398136617945564,2.0,0.0826639536843872,0.0833333333333333,0.6457111834961998,21.713024282560703,0.132272
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,5,4,1.277994877157535,3.8569578911296136,1.1483788348695023,0.3840682239625393,1.0,0.1247260518346594,0.1999999999999999,0.5675483870967742,9.065121412803531,0.23484
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,20,19,1.6990596867148555,0.5478330891006188,1.9181781910812383,0.5896669126377778,1.3846153846153844,0.0685168904074415,0.0769230769230769,0.6421816227834498,21.929359823399558,0.082704
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,19,18,1.7146588567131036,0.4510650631061257,1.8904177402869935,0.4969279271437981,2.166666666666666,0.0895468955232598,0.0833333333333333,0.6418367346938775,21.940397350993376,0.224015
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,11,10,1.2543208216503805,0.3937674959030515,1.4499929935254234,0.4444818068612575,1.4,0.2385617563676051,0.0999999999999999,0.605685986793837,16.003311258278146,0.222862
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,13,12,1.1686673277428186,0.4412909621319059,1.5649725066657867,0.3503645311877673,1.583333333333333,0.0463071988046347,0.0833333333333333,0.604102564102564,16.0242825607064,0.099901
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,14,13,1.2364668701066823,0.4716936371261631,1.6680789735309227,0.1954398781927674,3.461538461538461,0.0494546942101389,0.0769230769230769,0.6112676056338027,15.847682119205299,0.077979
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,25,24,2.083750264267286,0.4895837324288107,2.2350565258330586,0.5579386910772823,2.571428571428571,0.0889158205810676,0.0714285714285714,0.674324903557651,27.578366445916114,0.079348
03_09_D_88mm_350mm,LBO_Sweep_2_9_53_29.mat,"ER1_0,72_Log2_03.09.2025_09.53.27.tdms",2,24,23,2.178638919016202,0.6216776280882969,2.379739846839944,0.5492694163454291,2.5,0.1079323357344206,0.0833333333333333,0.6766451612903225,27.49006622516556,0.077787
