folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,LBO_Sweep_3_9_9_21.mat,ER1_0.7_log3_01.09.2025_09.09.18.tdms,3,2,1,1.466082188567491,0.0,1.466082188567491,0.0,0.589733912058879,0.27014217107789257
01_09_D_120mm_260mm,LBO_Sweep_2_9_27_6.mat,ER1_0.75_log2_01.09.2025_09.27.03.tdms,2,5,4,1.0740506935816612,0.7789382821129077,1.0994111970627358,0.325725764986493,0.3278043663541598,0.19977587333454913
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,5,4,1.1479046435612594,0.9063323254423872,1.428551818044784,0.7652077437493149,0.8484498820654663,0.12710083166732072
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,4,3,0.8572721827750016,0.15171960436605852,0.939294345729827,0.07042837585461706,0.7859410858562041,0.1480294617363377
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,15,14,1.5660091888944894,0.3921067333638288,1.7923417143425002,0.34953840200791564,1.8791105543376134,0.15418112886766258
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,2,1,0.5130104582312015,0.0,0.5130104582312015,0.0,1.3807577598586103,0.15664184473902748
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,19,18,1.7609092239555657,0.5121719699553119,2.0022514133637457,0.510511631729548,2.1911804984935634,0.1428129909792123
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,17,16,1.7783490230028334,0.4392026208275461,2.000836117857375,0.4533299707653141,1.8709307256716636,0.16115997818870292
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,11,10,1.2582573136206354,0.40437828894536076,1.4416478434989046,0.4502401502557024,1.7334427328302495,0.36605598370225717
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,12,11,1.1203544883081333,0.4197080713699543,1.4651177441875116,0.3373007445900576,1.7197298877589624,0.06692929886342808
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,13,12,1.259504271713696,0.4480197802909377,1.6984393800484003,0.21892873998458579,1.7159919005182291,0.0870758483477725
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,20,19,2.0757139609352815,0.42469789962673,2.152166801535786,0.5358962070349397,1.8408521918413427,0.2160018699127207
03_09_D_88mm_350mm,LBO_Sweep_2_9_53_29.mat,"ER1_0,72_Log2_03.09.2025_09.53.27.tdms",2,16,15,2.1411485063490763,0.43115756496369867,2.32262679800347,0.4696129239693656,2.3290117226923375,0.24678409409630778
03_09_D_88mm_350mm,LBO_Sweep_3_9_58_33.mat,"ER1_0,72_Log3_03.09.2025_09.58.30.tdms",3,16,15,1.9738517282058805,0.33738363213100736,2.0753949476585394,0.279748304070024,2.1948114656950963,0.2764498922765698
28_08_D_100mm_260mm,LBO_Sweep_3_14_58_6.mat,"ER1_0,85_log3_28.08.2025_14.57.21.tdms",3,3,2,1.2633089598924672,0.2031577137138997,1.2794383253428876,0.2129817124980769,0.23385248585192459,0.1384638999936928
28_08_D_100mm_260mm,LBO_Sweep_1_15_31_5.mat,"ER1_0,9_log1_28.08.2025_15.30.38.tdms",1,5,4,0.8970218873340511,0.9895177095886684,0.7690588874827227,0.08086329439848605,0.20372241598487564,0.09328396233879464
28_08_D_100mm_260mm,LBO_Sweep_3_15_53_6.mat,"ER1_0,9_log3_28.08.2025_15.52.13.tdms",3,2,1,1.193028419129972,0.0,1.193028419129972,0.0,0.19894321364909598,0.061125705069584785
28_08_D_100mm_260mm,LBO_Sweep_2_16_31_4.mat,"ER1_0,75_log2_28.08.2025_16.30.46.tdms",2,4,3,0.7120307806159588,0.6962800932944292,1.2274637652696494,0.7459598929066807,0.3705350526159774,0.05772737472623421
29_08_D_88mm_260mm,LBO_Sweep_2_12_41_26.mat,"ER1_0,7_log2_29.08.2025_12.41.22.tdms",2,6,5,0.9412838433899473,0.2248512239387125,1.109282028300003,0.08755374331535341,0.8285278716776032,0.5063444569362041
29_08_D_88mm_260mm,LBO_Sweep_3_12_46_37.mat,"ER1_0,7_log3_29.08.2025_12.46.34.tdms",3,10,9,1.2035731680212214,0.36922613732361365,1.4875927328119816,0.26781024904505796,1.587016092343176,0.37814920194678786
29_08_D_88mm_260mm,LBO_Sweep_2_13_12_55.mat,"ER1_0,75_log2_29.08.2025_13.12.53.tdms",2,10,9,1.2208044613078233,0.4972147832993212,1.3629697475234839,0.6275035060095917,1.7142857142857142,0.2047032091382748
29_08_D_88mm_260mm,LBO_Sweep_3_13_19_5.mat,"ER1_0,75_log3_29.08.2025_13.19.02.tdms",3,7,6,1.309334397676717,0.31713351463096423,1.3703650654692283,0.3163184341300494,3.613674142956949,0.14541757609148503
29_08_D_88mm_260mm,LBO_Sweep_1_13_48_21.mat,"ER1_0,8_log1_29.08.2025_13.48.18.tdms",1,14,13,1.4125186968580588,0.9160437846248501,1.7726661963192358,1.2774585096217275,2.8544352214470843,0.27459176676511043
29_08_D_88mm_260mm,LBO_Sweep_3_14_2_7.mat,"ER1_0,8_log3_29.08.2025_14.02.04.tdms",3,9,8,1.1343337589920763,0.8509741948687286,1.5396345495282127,0.5133137232654119,3.1507640602846188,0.1852651312204843
29_08_D_88mm_260mm,LBO_Sweep_1_14_25_40.mat,"ER1_0,85_log1_29.08.2025_14.25.36.tdms",1,9,8,0.8302119095143737,0.9242079089903923,1.5284617838236305,1.2679711919500445,5.294774538873271,0.05149002024552713
29_08_D_88mm_260mm,LBO_Sweep_2_14_32_38.mat,"ER1_0,85_log2_29.08.2025_14.32.35.tdms",2,2,1,0.6962576153176675,0.0,0.6962576153176675,0.0,2.958229795290498,0.09606235748289843
29_08_D_88mm_260mm,LBO_Sweep_3_14_38_51.mat,"ER1_0,85_log3_29.08.2025_14.38.47.tdms",3,3,2,0.2663912536292478,0.07204349053320708,0.2758007012918132,0.07552726257645234,5.5266175718805695,0.018083404686174538
29_08_D_88mm_260mm,LBO_Sweep_1_15_3_59.mat,"ER1_0,9_log1_29.08.2025_15.03.43.tdms",1,4,3,0.6067308291259922,0.5484274619782787,0.7108149066415702,0.5314563654541683,5.527138248801616,0.0201951058227515
02_09_D_88mm_200mm,LBO_Sweep_1_13_18_29.mat,"ER1_0,65_Log1_02.09.2025_13.18.26.tdms",1,2,1,0.8806933522623691,0.0,0.8806933522623691,0.0,1.032226098804682,0.13845149644787103
02_09_D_88mm_200mm,LBO_Sweep_2_13_22_24.mat,"ER1_0,65_Log2_02.09.2025_13.22.22.tdms",2,2,1,1.3911166075673962,0.0,1.3911166075673962,0.0,1.2021831646269625,0.14069291359310568
02_09_D_88mm_200mm,LBO_Sweep_3_13_26_31.mat,"ER1_0,65_Log3_02.09.2025_13.26.27.tdms",3,2,1,2.543597256984718,0.0,2.543597256984718,0.0,1.2673628713373213,0.12027747924644326
02_09_D_88mm_200mm,LBO_Sweep_3_13_30_40.mat,"ER1_0,7_Log1_02.09.2025_13.30.37.tdms",1,3,2,0.6910188623963774,0.004095410409358231,0.6910309981663108,0.004293450179282504,0.6877579092159559,0.23898243534120453
02_09_D_88mm_200mm,LBO_Sweep_2_13_35_42.mat,"ER1_0,7_Log2_02.09.2025_13.35.39.tdms",2,3,2,2.2487196352576753,0.959344926850522,2.4375073127089864,1.005735503032426,0.6435917568767778,0.13178116234428858
02_09_D_88mm_200mm,LBO_Sweep_3_13_41_5.mat,"ER1_0,7_Log3_02.09.2025_13.41.01.tdms",3,3,2,0.715583476032605,0.17909658195446265,0.7373345164044733,0.18775706828897962,0.6834148875099094,0.24118150306009803
02_09_D_88mm_200mm,LBO_Sweep_2_14_0_45.mat,"ER1_0,72_Log2_02.09.2025_14.00.42.tdms",2,4,3,1.239389278539107,0.40905836600648093,1.2627936784548457,0.4724558275774544,0.5983437844047675,0.3027513258582628
02_09_D_88mm_200mm,LBO_Sweep_3_14_5_7.mat,"ER1_0,72_Log3_02.09.2025_14.05.04.tdms",3,4,3,1.4931464577588869,0.19476968411677226,1.537167952507659,0.22723673234056457,0.6095256671258426,0.3120812043553471
02_09_D_88mm_200mm,LBO_Sweep_1_14_28_9.mat,"ER1_0,75_Log1_02.09.2025_14.28.06.tdms",1,5,4,0.9226556243241547,0.6040248569043585,1.161731112178963,0.6892267141923816,0.49209208027006013,0.07848317221103561
02_09_D_88mm_200mm,LBO_Sweep_2_14_32_13.mat,"ER1_0,75_Log2_02.09.2025_14.32.10.tdms",2,3,2,0.8393307009124783,0.5565701226114075,0.994994957781811,0.5834839134189959,0.5937396095568327,0.04777597135229993
02_09_D_88mm_200mm,LBO_Sweep_3_14_36_10.mat,"ER1_0,75_Log3_02.09.2025_14.36.07.tdms",3,5,4,1.1516942574220939,0.5347399603834683,1.0982291682244152,0.2203542240656882,0.4981220797593074,0.05824581601053524
02_09_D_88mm_200mm,LBO_Sweep_1_14_51_17.mat,"ER1_0,8_Log1_02.09.2025_14.51.15.tdms",1,3,2,0.7233628851184,0.18678752100399984,0.7467246283099853,0.19581991433870205,0.526592943654555,0.06621650400201808
02_09_D_88mm_200mm,LBO_Sweep_3_15_0_6.mat,"ER1_0,8_Log3_02.09.2025_15.00.02.tdms",3,5,4,1.3864534486123161,0.5639998652677252,1.7080989973469378,0.455009955550234,0.4262828983826827,0.08466718887040532
02_09_D_88mm_200mm,LBO_Sweep_2_15_26_6.mat,"ER1_0,85_Log2_02.09.2025_15.26.03.tdms",2,4,3,0.5908668528816379,0.7165546186702927,0.8651424586829589,0.8388822598530781,0.5983223042588581,0.11693832751130867
02_09_D_88mm_200mm,LBO_Sweep_3_15_30_12.mat,"ER1_0,85_Log3_02.09.2025_15.30.09.tdms",3,4,3,1.5329797600682278,1.10053992192167,1.6540654447533871,1.015949793457004,0.5795488791524677,0.07598232109878521
