folder,D_mm,H_mm,ER_guess,fft_f0_Hz,freq_mean_Hz,freq_diff_Hz
02_09_D_88mm_200mm,88,200,0.65,0.18002564025301826,1.9199564676200314,-1.739930827367013
02_09_D_88mm_200mm,88,200,0.7,0.07780701900177334,1.5101879447265716,-1.4323809257247984
02_09_D_88mm_200mm,88,200,0.72,0.0818738717271179,1.0975232251908231,-1.0156493534637052
02_09_D_88mm_200mm,88,200,0.75,0.08181896457081554,0.9735296628774787,-0.8917106983066632
02_09_D_88mm_200mm,88,200,0.8,0.07156998724566223,1.2837710277320122,-1.21220104048635
02_09_D_88mm_200mm,88,200,0.85,0.09815545931591671,1.0619233064749327,-0.963767847159016
03_09_D_88mm_350mm,88,350,0.6,0.4446087623062943,1.334790187631919,-0.8901814253256247
03_09_D_88mm_350mm,88,350,0.65,0.13725408291976918,1.1412748490974354,-1.0040207661776661
03_09_D_88mm_350mm,88,350,0.7,0.06467337603619366,1.1491711415015686,-1.084497765465375
03_09_D_88mm_350mm,88,350,0.71,1.7997686762380136,1.7262490900669352,0.07351958617107845
03_09_D_88mm_350mm,88,350,0.72,2.134713068442031,2.1933043951685303,-0.05859132672649947
03_09_D_88mm_350mm,88,350,0.75,0.0636106418059315,0.6838991782153491,-0.6202885364094176
29_08_D_88mm_260mm,88,260,0.7,0.07509448256792137,1.2988682363624724,-1.223773753794551
29_08_D_88mm_260mm,88,260,0.75,2.4017556300835143,1.5365959305612906,0.8651596995222237
29_08_D_88mm_260mm,88,260,0.8,1.2783487577804282,1.5392287415375605,-0.2608799837571323
29_08_D_88mm_260mm,88,260,0.85,1.1640812780609322,0.8698363533880719,0.29424492467286034
29_08_D_88mm_260mm,88,260,0.9,0.7275832207084271,0.7101664774528132,0.01741674325561382
