folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp,freq_resolution
03_09_D_88mm_350mm,LBO_Sweep_1_8_39_29.mat,"ER1_0,65_Log1_03.09.2025_08.39.27.tdms",1,7,6,1.4016258392526717,0.9260553957253245,1.8846445475807032,1.12273280437478,0.24694650644777325,0.1355619837223195,0.24694650644777325
03_09_D_88mm_350mm,LBO_Sweep_2_8_46_19.mat,"ER1_0,65_Log2_03.09.2025_08.46.16.tdms",2,8,7,1.2878468286495877,0.7700902378192189,1.484315975247547,0.8080490679229717,0.2180207206892943,0.11632815260551382,0.2180207206892943
03_09_D_88mm_350mm,LBO_Sweep_1_8_47_59.mat,"ER1_0,71_Log1_04.09.2025_08.47.54.tdms",1,19,18,1.6941737740393845,0.5318250680782862,1.8979131906576354,0.3531338616068052,1.9602741532506691,0.10671412732705417,0.17820674120460625
03_09_D_88mm_350mm,LBO_Sweep_3_8_52_36.mat,"ER1_0,65_Log3_03.09.2025_08.52.34.tdms",3,4,3,0.7343518793900472,0.2687409660581726,0.8485535556091086,0.2903725353444849,0.35855916584795655,0.1643515993402608,0.3585591658479565
03_09_D_88mm_350mm,LBO_Sweep_2_8_54_8.mat,"ER1_0,71_Log2_04.09.2025_08.54.05.tdms",2,22,21,1.7680022408165548,0.6345421957715773,2.086898451521349,0.4399105957424126,2.153143897682602,0.07967364306102669,0.1537959926916144
03_09_D_88mm_350mm,LBO_Sweep_3_9_0_6.mat,"ER1_0,71_Log3_04.09.2025_09.00.03.tdms",3,21,20,1.7165712553448664,0.5524665245532655,1.880679888377668,0.5237901658833709,2.0645735067575077,0.09981405545493587,0.15881334667365443
03_09_D_88mm_350mm,LBO_Sweep_1_9_18_52.mat,"ER1_0,7_Log1_03.09.2025_09.18.49.tdms",1,16,15,1.2740988362636048,0.7338378687978221,1.4588977443981974,0.4834813405068721,0.14528970767710814,0.20143525033798385,0.14528970767710814
03_09_D_88mm_350mm,LBO_Sweep_2_9_25_18.mat,"ER1_0,7_Log2_03.09.2025_09.25.15.tdms",2,17,16,1.0753351584459312,0.4929487908738613,1.4324527681791093,0.3948109173873218,0.12031001484625582,0.0609722554478459,0.12031001484625581
03_09_D_88mm_350mm,LBO_Sweep_3_9_30_56.mat,"ER1_0,7_Log3_03.09.2025_09.30.53.tdms",3,16,15,1.0980794297951701,0.5052434003867755,1.505838134447252,0.43785747996917157,0.12244068361082473,0.06438653928931139,0.12244068361082472
03_09_D_88mm_350mm,LBO_Sweep_1_9_48_47.mat,"ER1_0,72_Log1_03.09.2025_09.48.44.tdms",1,20,19,2.0757139609352815,0.42469789962673,2.152166801535786,0.5358962070349397,1.8408521918413427,0.1627054495224323,0.20453913242681587
03_09_D_88mm_350mm,LBO_Sweep_2_9_53_29.mat,"ER1_0,72_Log2_03.09.2025_09.53.27.tdms",2,20,19,2.229832340079945,0.43485559045552835,2.3424963984117873,0.4990715935347367,2.372202957058813,0.14747984615078732,0.21565481427807393
03_09_D_88mm_350mm,LBO_Sweep_3_9_58_33.mat,"ER1_0,72_Log3_03.09.2025_09.58.30.tdms",3,26,25,2.2743668844903646,0.5625977673531268,2.3624967810981357,0.6150390544011496,2.185535119868195,0.1470200326039857,0.16811808614370732
03_09_D_88mm_350mm,LBO_Sweep_1_10_35_46.mat,"ER1_0,75_Log1_03.09.2025_10.35.44.tdms",1,7,6,0.6838991782153491,0.4453087371717093,0.8074677133534405,0.48087734632198176,0.1272212836118631,0.04066119941349684,0.1272212836118631
03_09_D_88mm_350mm,LBO_Sweep_1_11_1_15.mat,"ER1_0,6_Log1_03.09.2025_11.01.13.tdms",1,2,1,2.026436895741848,0.0,2.026436895741848,0.0,0.6103441120103513,0.018204682349331442,0.6103441120103513
03_09_D_88mm_350mm,LBO_Sweep_2_11_7_56.mat,"ER1_0,6_Log2_03.09.2025_11.07.53.tdms",2,2,1,0.64314347952199,0.0,0.64314347952199,0.0,0.5840507423284935,0.060442567540779424,0.5840507423284934
29_08_D_88mm_260mm,LBO_Sweep_1_12_34_38.mat,"ER1_0,7_log1_29.08.2025_12.34.34.tdms",1,14,13,1.185155687976951,0.482051387165659,1.1959819789435413,0.20874515566733973,0.13957045795858664,0.42529843719701216,0.13957045795858664
29_08_D_88mm_260mm,LBO_Sweep_2_12_41_26.mat,"ER1_0,7_log2_29.08.2025_12.41.22.tdms",2,14,13,1.3208655815044679,0.5113786986287668,1.4899310459911916,0.6369444968553452,0.16721848767599742,0.31348196512794946,0.16721848767599742
29_08_D_88mm_260mm,LBO_Sweep_3_12_46_37.mat,"ER1_0,7_log3_29.08.2025_12.46.34.tdms",3,14,13,1.3905834396059984,0.661854391980999,1.5546707751433018,0.3672601546054733,1.4377814457179994,0.346077244613026,0.1437781445717999
29_08_D_88mm_260mm,LBO_Sweep_1_13_7_27.mat,"ER1_0,75_log1_29.08.2025_13.07.25.tdms",1,2,1,1.6454025806494075,0.0,1.6454025806494075,0.0,2.1528525296017222,0.012303922713125045,2.152852529601722
29_08_D_88mm_260mm,LBO_Sweep_2_13_12_55.mat,"ER1_0,75_log2_29.08.2025_13.12.53.tdms",2,12,11,1.3237965425803973,0.5309776604068167,1.7862150638661196,0.5857897034023786,3.8171515027431435,0.19811203110350314,0.17350688648832469
29_08_D_88mm_260mm,LBO_Sweep_3_13_19_5.mat,"ER1_0,75_log3_29.08.2025_13.19.02.tdms",3,14,13,1.640588668454067,0.6417383234140697,1.6317685760534697,0.5460525910250372,4.618204384407787,0.135047895125648,0.14431888701274334
29_08_D_88mm_260mm,LBO_Sweep_1_13_48_21.mat,"ER1_0,8_log1_29.08.2025_13.48.18.tdms",1,14,13,1.4125186968580588,0.9160437846248501,1.7726661963192358,1.2774585096217275,1.9029423294297643,0.20368389380921445,0.1902942329429764
29_08_D_88mm_260mm,LBO_Sweep_2_13_55_45.mat,"ER1_0,8_log2_29.08.2025_13.55.43.tdms",2,15,14,1.6127254172552634,0.7601564092747111,1.8397801916084502,0.6415597846241168,1.8650453206012902,0.25591783575133437,0.20722725784458781
29_08_D_88mm_260mm,LBO_Sweep_3_14_2_7.mat,"ER1_0,8_log3_29.08.2025_14.02.04.tdms",3,17,16,1.592442110499359,0.8694566639344555,2.3099823734704916,0.937860156981514,3.218987735656727,0.15222459327697807,0.13412448898569695
29_08_D_88mm_260mm,LBO_Sweep_1_14_25_40.mat,"ER1_0,85_log1_29.08.2025_14.25.36.tdms",1,12,11,1.0716126591746653,0.763243327557729,1.5648399246999027,1.2084981068985658,2.7275936206398614,0.039976694851970467,0.16044668356705064
29_08_D_88mm_260mm,LBO_Sweep_2_14_32_38.mat,"ER1_0,85_log2_29.08.2025_14.32.35.tdms",2,7,6,0.559733081950987,0.4157226452074657,0.6850860033123555,0.08116702328090178,6.143543903300619,0.014012830501273381,0.15358859758251545
29_08_D_88mm_260mm,LBO_Sweep_3_14_38_51.mat,"ER1_0,85_log3_29.08.2025_14.38.47.tdms",3,13,12,0.9781633190385632,1.0519379236049422,1.017820096182039,0.4429940616996004,0.14700304884323298,0.012238352651450164,0.14700304884323298
29_08_D_88mm_260mm,LBO_Sweep_1_15_3_59.mat,"ER1_0,9_log1_29.08.2025_15.03.43.tdms",1,4,3,0.6067308291259922,0.5484274619782787,0.7108149066415702,0.5314563654541683,5.46442115386717,0.0327276322923217,0.2732210576933585
29_08_D_88mm_260mm,LBO_Sweep_2_15_13_54.mat,"ER1_0,9_log1_set2_29.08.2025_15.13.51.tdms",1,2,1,0.8136021257796343,0.0,0.8136021257796343,0.0,0.17812230590012323,0.03674061778331158,0.17812230590012323
02_09_D_88mm_200mm,LBO_Sweep_1_13_18_29.mat,"ER1_0,65_Log1_02.09.2025_13.18.26.tdms",1,3,2,1.7613867045247382,0.7033990227364607,1.8921308803937085,0.737412947277302,0.34407299852736756,0.12498602636161908,0.3440729985273675
02_09_D_88mm_200mm,LBO_Sweep_2_13_22_24.mat,"ER1_0,65_Log2_02.09.2025_13.22.22.tdms",2,4,3,2.3253344412260097,0.6223705684170031,2.630229224476913,0.47836765336736886,0.4007212983370066,0.1367159153440836,0.40072129833700654
02_09_D_88mm_200mm,LBO_Sweep_3_13_26_31.mat,"ER1_0,65_Log3_02.09.2025_13.26.27.tdms",3,4,3,1.6731482571093466,0.6733230357460451,1.7571573411397978,0.8205777925748933,0.3353611504228904,0.20850772614059535,0.3353611504228904
02_09_D_88mm_200mm,LBO_Sweep_3_13_30_40.mat,"ER1_0,7_Log1_02.09.2025_13.30.37.tdms",1,9,8,1.1991405160351318,0.6799886913673575,1.4272113997033986,0.8096188975565831,0.16234767729178098,0.3765964046936669,0.16234767729178096
02_09_D_88mm_200mm,LBO_Sweep_2_13_35_42.mat,"ER1_0,7_Log2_02.09.2025_13.35.39.tdms",2,11,10,1.9686701888801241,0.8146669665938971,2.224368160893939,1.2280272932112413,0.1414131129551381,0.4272366764911912,0.1414131129551381
02_09_D_88mm_200mm,LBO_Sweep_3_13_41_5.mat,"ER1_0,7_Log3_02.09.2025_13.41.01.tdms",3,9,8,1.362753129264459,0.6238074449526467,1.5570499080681426,0.38434906794899143,0.16308158971933656,0.34786679587474717,0.16308158971933656
02_09_D_88mm_200mm,LBO_Sweep_1_13_55_31.mat,"ER1_0,72_Log1_02.09.2025_13.55.27.tdms",1,3,2,0.6329350273206404,0.15686768323611927,0.6518112510765401,0.1644532575232889,0.16418420153939106,0.19702219378131947,0.16418420153939106
02_09_D_88mm_200mm,LBO_Sweep_2_14_0_45.mat,"ER1_0,72_Log2_02.09.2025_14.00.42.tdms",2,6,5,1.1114294739093042,0.3869732072320529,1.2627936784548457,0.4724558275774544,0.17931558826271884,0.39885410879356403,0.17931558826271882
02_09_D_88mm_200mm,LBO_Sweep_3_14_5_7.mat,"ER1_0,72_Log3_02.09.2025_14.05.04.tdms",3,10,9,1.5482051743425245,0.3320489086093461,1.537167952507659,0.23420609348807717,0.14774365884216248,0.49375588569873363,0.14774365884216248
02_09_D_88mm_200mm,LBO_Sweep_1_14_28_9.mat,"ER1_0,75_Log1_02.09.2025_14.28.06.tdms",1,5,4,0.9226556243241547,0.6040248569043585,1.161731112178963,0.6892267141923816,0.16403015530375104,0.06116684451207349,0.164030155303751
02_09_D_88mm_200mm,LBO_Sweep_2_14_32_13.mat,"ER1_0,75_Log2_02.09.2025_14.32.10.tdms",2,3,2,0.8393307009124783,0.5565701226114075,0.994994957781811,0.5834839134189959,0.17965771611924958,0.04862063269306575,0.17965771611924958
02_09_D_88mm_200mm,LBO_Sweep_3_14_36_10.mat,"ER1_0,75_Log3_02.09.2025_14.36.07.tdms",3,7,6,1.1586026633958026,0.44081240537333577,1.0982291682244152,0.26020607296361303,0.14722640181618488,0.07260109456664669,0.14722640181618488
02_09_D_88mm_200mm,LBO_Sweep_1_14_51_17.mat,"ER1_0,8_Log1_02.09.2025_14.51.15.tdms",1,3,2,0.7233628851184,0.18678752100399984,0.7467246283099853,0.19581991433870205,0.17553036499784097,0.05551407100313982,0.17553036499784094
02_09_D_88mm_200mm,LBO_Sweep_2_14_55_20.mat,"ER1_0,8_Log2_02.09.2025_14.55.18.tdms",2,11,10,1.510435751651737,0.7789410504769729,2.0023757906494817,0.6882141359621762,0.12233343690897656,0.13485474854589202,0.12233343690897656
02_09_D_88mm_200mm,LBO_Sweep_3_15_0_6.mat,"ER1_0,8_Log3_02.09.2025_15.00.02.tdms",3,7,6,1.6175144464258997,0.7728737379765894,1.973738147664568,0.455009955550234,0.13155644429242364,0.10279989488084912,0.13155644429242364
02_09_D_88mm_200mm,LBO_Sweep_2_15_26_6.mat,"ER1_0,85_Log2_02.09.2025_15.26.03.tdms",2,4,3,0.5908668528816379,0.7165546186702927,0.8651424586829589,0.8388822598530781,0.19944076808628605,0.11182105020321813,0.19944076808628602
