folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,LBO_Sweep_2_9_4_11.mat,ER1_0.7_log2_01.09.2025_09.04.07.tdms,2,8,7,0.9772404878552042,0.8115953694832289,1.1962337775746839,0.5556768907075156,0.06388143605468251,0.5781451998799059
01_09_D_120mm_260mm,LBO_Sweep_3_9_9_21.mat,ER1_0.7_log3_01.09.2025_09.09.18.tdms,3,8,7,1.2061410499251073,0.6818494823351623,1.466082188567491,0.5861138133575639,0.07263187406214092,0.5578024106005086
01_09_D_120mm_260mm,LBO_Sweep_1_9_20_36.mat,ER1_0.75_log1_01.09.2025_09.20.33.tdms,1,5,4,1.0695687632442696,0.5165127011396909,1.106003623126712,0.3948166716405158,0.07314347238395057,0.10690375223197612
01_09_D_120mm_260mm,LBO_Sweep_2_9_27_6.mat,ER1_0.75_log2_01.09.2025_09.27.03.tdms,2,23,22,1.6436981025672097,0.8459223405741397,2.2933488086353533,1.0434347448132513,0.03728380056149404,0.60363449388714
01_09_D_120mm_260mm,LBO_Sweep_3_9_33_11.mat,ER1_0.75_log3_01.09.2025_09.33.08.tdms,3,14,13,1.2057425249992162,0.5663935661031935,1.4172616803621385,0.6996353346220355,0.04196732759611987,0.4962762187313546
01_09_D_120mm_260mm,LBO_Sweep_1_9_44_7.mat,ER1_0.8_log1_01.09.2025_09.43.59.tdms,1,9,8,1.4923087340539818,0.9554152176499126,1.475437296397641,0.6952268124098684,0.041383534319365006,0.28130673514417004
01_09_D_120mm_260mm,LBO_Sweep_2_9_51_7.mat,ER1_0.8_log2_01.09.2025_09.51.04.tdms,2,8,7,1.3650367672653265,0.8637586736582032,1.760721473230871,0.8319246620829118,0.0423706191957548,0.24396012149105303
01_09_D_120mm_260mm,LBO_Sweep_3_9_56_17.mat,ER1_0.8_log3_01.09.2025_09.56.14.tdms,3,11,10,1.4700099593174742,0.7236784290341419,1.4832208332746506,0.4133040349881689,0.04079870814970515,0.34303872347948516
01_09_D_120mm_260mm,LBO_Sweep_1_10_17_53.mat,ER1_0.85_log1_01.09.2025_10.17.50.tdms,1,8,7,0.619096637182042,0.8424594939001075,0.7376034673263792,0.7643428877199129,0.035325353571463894,0.1581057445026066
01_09_D_120mm_260mm,LBO_Sweep_2_10_31_21.mat,ER1_0.85_log2_01.09.2025_10.31.19.tdms,2,9,8,0.7136472548666283,0.9584747093243688,1.44527587129771,0.9090717096438059,0.036906878777880375,0.14698043239257388
01_09_D_120mm_260mm,LBO_Sweep_3_10_53_22.mat,ER1_0.85_log3_01.09.2025_10.53.20.tdms,3,12,11,2.1599896477587066,0.6013514737543839,2.475223017593885,0.6476655451887919,0.03889074268095668,0.1721367422989159
01_09_D_120mm_260mm,LBO_Sweep_1_11_8_45.mat,ER1_0.9_log1_01.09.2025_11.08.43.tdms,1,10,9,0.5746115912948643,0.3818672721041092,0.8431454383723921,0.5788237206715506,0.03204115622434705,0.16021793167278636
01_09_D_120mm_260mm,LBO_Sweep_2_11_16_41.mat,ER1_0.9_log2_01.09.2025_11.16.38.tdms,2,15,14,0.48896686435713416,1.0024227376864814,1.0050971454423898,0.8329820301407579,0.028522744321549443,0.19263434293572443
01_09_D_120mm_260mm,LBO_Sweep_3_11_21_5.mat,ER1_0.9_log3_01.09.2025_11.20.59.tdms,3,16,15,0.5830810859768611,0.7491294635165535,0.9696048278563589,0.7643503955286568,0.03732660857153308,0.14254611752809976
01_09_D_120mm_260mm,LBO_Sweep_1_11_39_56.mat,ER1_0.95_log1_01.09.2025_11.39.53.tdms,1,7,6,0.6388367379250007,0.9118819726389227,0.7634021756804401,0.5655179497502599,0.030884539384891156,0.08135025342302761
01_09_D_120mm_260mm,LBO_Sweep_2_11_44_3.mat,ER1_0.95_log2_01.09.2025_11.43.59.tdms,2,10,9,0.5970334997486821,0.7463646232822885,1.3893423547963573,0.5060430662006263,0.02670366726803325,0.10551157496951943
