folder,D_mm,H_mm,ER_guess,fft_f0_Hz,freq_mean_Hz,freq_diff_Hz
01_09_D_120mm_260mm,120,260,0.7,0.0651041666666666,0.1281343687168573,-0.06303020205019069
01_09_D_120mm_260mm,120,260,0.75,0.8463541666666665,0.1903227463224275,0.656031420344239
01_09_D_120mm_260mm,120,260,0.8,0.0651041666666666,0.128604486354646,-0.0635003196879794
01_09_D_120mm_260mm,120,260,0.85,1.150173611111111,0.19580500935076683,0.9543686017603441
01_09_D_120mm_260mm,120,260,0.9,0.15190972222222213,0.3533654097739838,-0.20145568755176166
01_09_D_120mm_260mm,120,260,0.95,0.0651041666666666,0.5164047647289195,-0.45130059806225287
02_09_D_88mm_200mm,88,200,0.7,0.5859374999999999,0.7348913062960384,-0.1489538062960385
02_09_D_88mm_200mm,88,200,0.72,0.8680555555555555,0.8384843397353069,0.029571215820248575
02_09_D_88mm_200mm,88,200,0.75,0.9114583333333333,0.9292199048509772,0.24265509514902261
02_09_D_88mm_200mm,88,200,0.8,1.4105902777777777,0.8701091529512408,0.5404811248265369
02_09_D_88mm_200mm,88,200,0.85,1.3671874999999998,1.1694290512296739,-0.6702971067852295
03_09_D_88mm_350mm,88,350,0.6,0.7161458333333334,0.5885775255842188,0.12756830774911454
03_09_D_88mm_350mm,88,350,0.65,0.6184895833333333,0.6524118334644884,-0.03392225013115513
03_09_D_88mm_350mm,88,350,0.7,1.6276041666666663,1.6588793276309033,-0.03127516096423699
03_09_D_88mm_350mm,88,350,0.71,2.34375,2.3677284696220213,-0.023978469622021326
03_09_D_88mm_350mm,88,350,0.72,2.2135416666666665,2.2897011881927027,-0.07615952152603622
28_08_D_100mm_260mm,100,260,0.7,1.1718749999999998,0.18625543558294555,0.9856195644170542
28_08_D_100mm_260mm,100,260,0.75,0.6401909722222221,0.35744382326301954,0.28274714895920255
28_08_D_100mm_260mm,100,260,0.8,0.39062499999999983,0.5183122972580251,-0.12768729725802525
28_08_D_100mm_260mm,100,260,0.85,0.7812499999999999,0.6083598981863478,0.17289010181365205
28_08_D_100mm_260mm,100,260,0.9,0.0651041666666666,0.6698368363272584,-0.6047326696605918
29_08_D_88mm_260mm,88,260,0.6,0.5859374999999999,0.7293747069917035,-0.1434372069917036
29_08_D_88mm_260mm,88,260,0.7,1.1935763888888886,1.2224828221112995,-0.028906433222410932
29_08_D_88mm_260mm,88,260,0.75,2.1918402777777772,2.2101388688633725,-0.018298591085595284
29_08_D_88mm_260mm,88,260,0.8,1.98565,1.8359658576819167,-0.49047974657080573
29_08_D_88mm_260mm,88,260,0.85,1.888020833333333,1.4549944381583295,-0.9579515807314287
