folder,mat_file,tdms_file,log_no,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,Up_12_ERp_0.7_PH2p_0_9_14_18.mat,ER1_0.7_log4_01.09.2025_09.14.14.tdms,4,0.03255208333333333,0.06155182289401956
01_09_D_120mm_260mm,Up_17.34_ERp_0.78_PH2p_0_9_39_20.mat,ER1_0.75_log4_01.09.2025_09.39.17.tdms,4,0.8463541666666665,0.054167358826585424
01_09_D_120mm_260mm,Up_26_ERp_0.8_PH2p_0_10_3_14.mat,ER1_0.8_log6_01.09.2025_10.03.10.tdms,6,0.5208333333333333,0.11463045938924776
01_09_D_120mm_260mm,LBO_Sweep_6_10_59_1.mat,ER1_0.85_log6_01.09.2025_10.58.58.tdms,6,0.9440104166666665,0.09966922667888851
01_09_D_120mm_260mm,LBO_Sweep_5_11_1_27.mat,ER1_0.85_log5_01.09.2025_11.01.24.tdms,5,1.1718749999999998,0.07930594728300781
01_09_D_120mm_260mm,LBO_Sweep_4_11_4_19.mat,ER1_0.85_log4_01.09.2025_11.04.14.tdms,4,1.2695312499999998,0.0790803735252095
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_27_46.mat,ER1_0.9_log6_01.09.2025_11.27.39.tdms,6,0.03255208333333333,0.24236551648731702
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_31_27.mat,ER1_0.9_log5_01.09.2025_11.31.07.tdms,5,0.03255208333333333,0.13614423394002878
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_36_3.mat,ER1_0.9_log4_01.09.2025_11.36.00.tdms,4,0.03255208333333333,0.10278169421076967
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_53_32.mat,ER1_0.95_log6_01.09.2025_11.53.29.tdms,6,0.03255208333333333,0.33630831686973917
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_56_8.mat,ER1_0.95_log5_01.09.2025_11.56.05.tdms,5,0.03255208333333333,0.22049635827997266
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_12_0_16.mat,ER1_0.95_log4_01.09.2025_12.00.01.tdms,4,0.03255208333333333,0.18184982985863968
