folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz
01_09_D_120mm_260mm,Up_12_ERp_0.7_PH2p_0_9_14_18.mat,ER1_0.7_log4_01.09.2025_09.14.14.tdms,4,14,13,0.1281343687168573,0.16936468707678023,0.18989687839915415,0.152369090389534,0.1131753957808596
01_09_D_120mm_260mm,Up_17.34_ERp_0.78_PH2p_0_9_39_20.mat,ER1_0.75_log4_01.09.2025_09.39.17.tdms,4,22,21,0.19032274632242757,0.23539088922447524,0.22926125603988778,0.14436588095356395,0.3659033716974696
01_09_D_120mm_260mm,LBO_Sweep_4_11_4_19.mat,ER1_0.85_log4_01.09.2025_11.04.14.tdms,4,27,26,0.23796414643628971,0.752386887215958,0.27621169550853636,0.15480819040092994,1.2884315985660624
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_36_3.mat,ER1_0.9_log4_01.09.2025_11.36.00.tdms,4,21,20,0.18417951896674703,0.4451414004337105,0.1898847873324796,0.11038828581276276,0.0044557229760072824
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_12_0_16.mat,ER1_0.95_log4_01.09.2025_12.00.01.tdms,4,31,30,0.2620931871453252,0.5002926752956588,0.3382203543831699,0.28489443368455436,0.1886551331354968
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_9_2_21.mat,"ER1_0,65_Log4_03.09.2025_09.02.16.tdms",4,73,72,0.6039267012149646,0.043093903845624164,0.5996661560359896,0.03647791351274511,0.5699789506139951
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_10_22.mat,"ER1_0,71_Log4_04.09.2025_09.10.18.tdms",4,287,286,2.385057690292453,0.27131853105565684,2.437918519954482,0.16011612527495436,2.386734420320137
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_41_36.mat,"ER1_0,7_Log4_03.09.2025_09.41.33.tdms",4,201,200,1.6771862021513873,0.08830319179591567,1.682881691240047,0.08555781284088082,1.6620746743897326
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_20_19.mat,"ER1_0,72_Log4_03.09.2025_10.20.16.tdms",4,291,290,2.4201732354994716,0.14836757145249385,2.4224661766987188,0.15192390087015906,2.409339431521233
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_32_12.mat,"ER1_0,6_Log4_03.09.2025_11.32.05.tdms",4,67,66,0.5576767692770798,0.3559508843938406,0.7108501620203335,0.14392862154821007,0.7264353368136482
