folder,mat_file,tdms_file,log_no,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,Up_12_ERp_0.7_PH2p_0_9_14_18.mat,ER1_0.7_log4_01.09.2025_09.14.14.tdms,4,0.03255208333333333,0.05542709945391011
01_09_D_120mm_260mm,Up_17.34_ERp_0.78_PH2p_0_9_39_20.mat,ER1_0.75_log4_01.09.2025_09.39.17.tdms,4,0.8300781249999999,0.05113406876362777
01_09_D_120mm_260mm,Up_26_ERp_0.8_PH2p_0_10_3_14.mat,ER1_0.8_log6_01.09.2025_10.03.10.tdms,6,0.09765624999999999,0.09187795119664238
01_09_D_120mm_260mm,LBO_Sweep_6_10_59_1.mat,ER1_0.85_log6_01.09.2025_10.58.58.tdms,6,0.9277343749999999,0.0831366506571706
01_09_D_120mm_260mm,LBO_Sweep_5_11_1_27.mat,ER1_0.85_log5_01.09.2025_11.01.24.tdms,5,1.1393229166666665,0.07177809089496096
01_09_D_120mm_260mm,LBO_Sweep_4_11_4_19.mat,ER1_0.85_log4_01.09.2025_11.04.14.tdms,4,1.2858072916666665,0.08415480360469603
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_27_46.mat,ER1_0.9_log6_01.09.2025_11.27.39.tdms,6,0.03255208333333333,0.22017174656779667
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_31_27.mat,ER1_0.9_log5_01.09.2025_11.31.07.tdms,5,0.016276041666666664,0.08663486856159597
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_36_3.mat,ER1_0.9_log4_01.09.2025_11.36.00.tdms,4,0.016276041666666664,0.07095362062719753
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_53_32.mat,ER1_0.95_log6_01.09.2025_11.53.29.tdms,6,0.016276041666666664,0.33147890115580486
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_56_8.mat,ER1_0.95_log5_01.09.2025_11.56.05.tdms,5,0.016276041666666664,0.20713190157028225
