folder,mat_file,tdms_file,pairing,time_diff,log,er_est,ER,velocity
29_08_D_100mm_90mm,LBO_sweep1_9_9_30.mat,"ER1_0,6_log1_29.08.2025_09.09.17.tdms","LBO_sweep1_9_9_30 <> ER1_0,6_log1_29.08.2025_09.09.17",0 days 00:00:00.184369,1,0.6,0.556896551724138,7.4547461368653405
29_08_D_100mm_90mm,LBO_Sweep_2_9_14_18.mat,"ER1_0,6_log2_29.08.2025_09.14.15.tdms","LBO_Sweep_2_9_14_18 <> ER1_0,6_log2_29.08.2025_09.14.15",0 days 00:00:00.023986,2,0.6,0.5896006655574044,7.045253863134658
29_08_D_100mm_90mm,LBO_Sweep_3_9_19_14.mat,"ER1_0,6_log3_29.08.2025_09.19.11.tdms","LBO_Sweep_3_9_19_14 <> ER1_0,6_log3_29.08.2025_09.19.11",0 days 00:00:00.145060,3,0.6,0.5649053627760252,7.413907284768212
29_08_D_100mm_90mm,LBO_Sweep_1_9_27_24.mat,"ER1_0,7_log1_29.08.2025_09.27.17.tdms","LBO_Sweep_1_9_27_24 <> ER1_0,7_log1_29.08.2025_09.27.17",0 days 00:00:00.048013,1,0.7,0.6326036866359448,15.32781456953642
29_08_D_100mm_90mm,LBO_Sweep_2_9_35_3.mat,"ER1_0,7_log2_29.08.2025_09.34.55.tdms","LBO_Sweep_2_9_35_3 <> ER1_0,7_log2_29.08.2025_09.34.55",0 days 00:00:00.187046,2,0.7,0.6211538461538462,15.592715231788077
29_08_D_100mm_90mm,LBO_Sweep_3_9_42_18.mat,"ER1_0,7_log3_29.08.2025_09.42.13.tdms","LBO_Sweep_3_9_42_18 <> ER1_0,7_log3_29.08.2025_09.42.13",0 days 00:00:00.204033,3,0.7,0.6340646651270209,15.294701986754966
29_08_D_100mm_90mm,LBO_Sweep_1_9_48_31.mat,"ER1_0,75_log1_29.08.2025_09.48.27.tdms","LBO_Sweep_1_9_48_31 <> ER1_0,75_log1_29.08.2025_09.48.27",0 days 00:00:00.126169,1,0.75,0.6738048780487805,24.231788079470196
29_08_D_100mm_90mm,LBO_Sweep_2_9_55_8.mat,"ER1_0,75_log2_29.08.2025_09.55.05.tdms","LBO_Sweep_2_9_55_8 <> ER1_0,75_log2_29.08.2025_09.55.05",0 days 00:00:00.154567,2,0.75,0.6835480673934589,23.87637969094923
29_08_D_100mm_90mm,LBO_Sweep_3_10_2_11.mat,"ER1_0,75_log3_29.08.2025_10.02.06.tdms","LBO_Sweep_3_10_2_11 <> ER1_0,75_log3_29.08.2025_10.02.06",0 days 00:00:00.186238,3,0.75,0.6760421775380089,24.107064017660043
29_08_D_100mm_90mm,LBO_Sweep_1_10_9_11.mat,"ER1_0,8_log1_29.08.2025_10.09.07.tdms","LBO_Sweep_1_10_9_11 <> ER1_0,8_log1_29.08.2025_10.09.07",0 days 00:00:00.009653,1,0.8,0.736774861878453,34.44370860927152
29_08_D_100mm_90mm,LBO_Sweep_2_10_16_14.mat,"ER1_0,8_log2_29.08.2025_10.16.08.tdms","LBO_Sweep_2_10_16_14 <> ER1_0,8_log2_29.08.2025_10.16.08",0 days 00:00:00.045459,2,0.8,0.7312200137080193,34.68653421633554
29_08_D_100mm_90mm,LBO_Sweep_3_10_23_11.mat,"ER1_0,8_log3_29.08.2025_10.23.04.tdms","LBO_Sweep_3_10_23_11 <> ER1_0,8_log3_29.08.2025_10.23.04",0 days 00:00:00.104994,3,0.8,0.7372840359364203,34.421633554083876
29_08_D_100mm_90mm,LBO_Sweep_1_10_30_4.mat,"ER1_0,85_log1_29.08.2025_10.29.59.tdms","LBO_Sweep_1_10_30_4 <> ER1_0,85_log1_29.08.2025_10.29.59",0 days 00:00:00.140437,1,0.85,0.795752688172043,44.498896247240616
29_08_D_100mm_90mm,LBO_Sweep_2_10_37_50.mat,"ER1_0,85_log2_29.08.2025_10.37.45.tdms","LBO_Sweep_2_10_37_50 <> ER1_0,85_log2_29.08.2025_10.37.45",0 days 00:00:00.129826,2,0.85,0.7964516999460335,44.33443708609271
29_08_D_100mm_90mm,LBO_Sweep_3_10_45_18.mat,"ER1_0,85_log3_29.08.2025_10.45.13.tdms","LBO_Sweep_3_10_45_18 <> ER1_0,85_log3_29.08.2025_10.45.13",0 days 00:00:00.026411,3,0.85,0.7945222072678332,44.433774834437074
29_08_D_100mm_90mm,LBO_Sweep_1_10_52_23.mat,"ER1_0,9_log1_29.08.2025_10.52.19.tdms","LBO_Sweep_1_10_52_23 <> ER1_0,9_log1_29.08.2025_10.52.19",0 days 00:00:00.228765,1,0.9,0.8449019160583943,52.692052980132445
29_08_D_100mm_90mm,LBO_Sweep_2_11_1_2.mat,"ER1_0,9_log2_29.08.2025_11.01.00.tdms","LBO_Sweep_2_11_1_2 <> ER1_0,9_log2_29.08.2025_11.01.00",0 days 00:00:00.110508,2,0.9,0.8382226252550442,52.98233995584989
29_08_D_100mm_90mm,LBO_Sweep_3_11_8_1.mat,"ER1_0,9_log3_29.08.2025_11.07.58.tdms","LBO_Sweep_3_11_8_1 <> ER1_0,9_log3_29.08.2025_11.07.58",0 days 00:00:00.149818,3,0.9,0.8510917030567684,52.32671081677704
01_09_D_120mm_260mm,LBO_Sweep_1_8_42_30.mat,"ER1_0,6_log1_01.09.2025_08.42.20.tdms","LBO_Sweep_1_8_42_30 <> ER1_0,6_log1_01.09.2025_08.42.20",0 days 00:00:00.200205,1,0.6,0.5373905429071804,6.658940397350992
