folder,mat_file,tdms_file,log_no,n_peaks,n_intervals,freq_mean_Hz,freq_std_Hz,freq_median_Hz,freq_MAD_Hz,fft_f0_Hz,fft_a0_amp
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_8_56_35.mat,"ER1_0,65_Log6_03.09.2025_08.56.32.tdms",6,82,81,0.6840078822028309,0.3086002725219209,0.6666666666666666,0.07721334932078903,0.634765625,0.10004619853234574
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_9_2_21.mat,"ER1_0,65_Log4_03.09.2025_09.02.16.tdms",4,73,72,0.6039267012149646,0.043093903845624164,0.5996661560359896,0.03647791351274511,0.5859375,0.12372943082501857
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_4_52.mat,"ER1_0,71_Log6_04.09.2025_09.04.49.tdms",6,279,278,2.329154018334011,0.14265734215343082,2.3296556140760956,0.13747300883504085,2.294921875,0.1262881529004282
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_7_13.mat,"ER1_0,71_Log5_04.09.2025_09.07.08.tdms",5,287,286,2.388973700239599,0.15295365631859734,2.3976188444004896,0.1351522101245901,2.34375,0.11976173496908626
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_10_22.mat,"ER1_0,71_Log4_04.09.2025_09.10.18.tdms",4,281,280,2.3350215149716322,0.30762043668862854,2.4244717337206065,0.15372317643504363,2.392578125,0.11485658462336895
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_36_8.mat,"ER1_0,7_Log6_03.09.2025_09.36.05.tdms",6,196,195,1.6358666394872319,0.08176924863766695,1.6385035219633204,0.07675091579325563,1.611328125,0.08964028843036566
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_38_25.mat,"ER1_0,7_Log5_03.09.2025_09.38.22.tdms",5,199,198,1.66358514125409,0.08118456386882474,1.6710994180282115,0.08748635484969321,1.611328125,0.0898228044279231
03_09_D_88mm_350mm,Up_14_ERp_0.7_PH2p_0_9_41_36.mat,"ER1_0,7_Log4_03.09.2025_09.41.33.tdms",4,199,198,1.660414340129873,0.12098964522814393,1.6808941801955053,0.08677030057415717,1.66015625,0.07391339865755218
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_14_27.mat,"ER1_0,72_Log6_03.09.2025_10.14.24.tdms",6,259,258,2.160997387739452,0.1528032522143681,2.1696287372386274,0.16697542028866058,2.099609375,0.1875561098526087
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_16_48.mat,"ER1_0,72_Log5_03.09.2025_10.16.43.tdms",5,274,273,2.2879329413391845,0.15635826880103074,2.272727272727273,0.1420021986199358,2.24609375,0.179454102003355
03_09_D_88mm_350mm,Up_26_ERp_0.72_PH2p_0_10_20_19.mat,"ER1_0,72_Log4_03.09.2025_10.20.16.tdms",4,291,290,2.4201732354994716,0.14836757145249385,2.4224661766987188,0.15192390087015906,2.392578125,0.18207298934981236
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_24_6.mat,"ER1_0,6_Log6_03.09.2025_11.24.02.tdms",6,75,74,0.629118376801134,0.11845633969472193,0.6929944496430467,0.04724596759932366,0.68359375,0.08907927481110457
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_28_3.mat,"ER1_0,6_Log5_03.09.2025_11.28.00.tdms",5,43,42,0.3683147227557841,0.239626783084324,0.5253536028719379,0.2871347810753343,0.732421875,0.08762692905191395
03_09_D_88mm_350mm,Up_7_ERp_0.6_PH2p_0_11_32_12.mat,"ER1_0,6_Log4_03.09.2025_11.32.05.tdms",4,48,47,0.3971334569094356,0.23347081124213745,0.6869349101695218,0.18431895783355426,0.732421875,0.09575624748901677
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_12_55_13.mat,"ER1_0,75_log4_28.08.2025_12.55.13.tdms",4,13,12,0.10612669123163501,0.11070899515174554,0.10170735442961833,0.029788796795874012,0.732421875,0.0668797396448929
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_13_0_52.mat,"ER1_0,75_log5_28.08.2025_13.00.49.tdms",5,16,15,0.1328605940818949,0.1178422659412638,0.15384475740912504,0.11015409525892597,0.634765625,0.03469346722592976
28_08_D_100mm_260mm,Up_22.44_ERp_0.73_PH2p_0_13_3_27.mat,"ER1_0,75_log6_28.08.2025_13.03.20.tdms",6,16,15,0.14128409516056478,0.1345466809077068,0.18069145560700042,0.05272209791602784,0.537109375,0.02500417487784178
28_08_D_100mm_260mm,Up_32.76_ERp_0.78_PH2p_0_13_33_45.mat,"ER1_0,8_log5_28.08.2025_13.33.45.tdms",5,50,49,0.4117955247978474,0.7799308028673226,0.6883567890909216,0.6531456856935919,0.048828125,0.06676804213748797
28_08_D_100mm_260mm,Up_32.33_ERp_0.79_PH2p_0_13_36_52.mat,"ER1_0,8_log6_28.08.2025_13.36.24.tdms",6,34,33,0.29237362535445655,0.3849655232656338,0.3694963063301738,0.299112250199494,1.025390625,0.13691003659597595
28_08_D_100mm_260mm,Up_42.35_ERp_0.84_PH2p_0_15_4_31.mat,"ER1_0,85_log4_28.08.2025_15.04.22.tdms",4,95,94,0.7941867020398553,0.6337346107209799,0.9938364275477762,0.5018172716703959,0.78125,0.19117676438407624
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_15_59_28.mat,"ER1_0,9_log4_28.08.2025_15.59.24.tdms",4,66,65,0.5501314708420798,1.0107718531073142,1.1836238538082504,1.1290957912103432,0.048828125,0.09268584378519935
28_08_D_100mm_260mm,Up_51.07_ERp_0.88_PH2p_0_16_7_56.mat,"ER1_0,9_log6_28.08.2025_16.07.54.tdms",6,59,58,0.5128647116918201,0.7739392527789544,0.7538899379653505,0.5368392557692752,0.048828125,0.08164700487705873
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_44_18.mat,"ER1_0,75_log4_28.08.2025_16.44.06.tdms",4,17,16,0.15150099994447488,0.3418639124032916,0.1963630935516923,0.12418282600597892,0.68359375,0.06301503872205282
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_48_32.mat,"ER1_0,75_log5_28.08.2025_16.48.09.tdms",5,23,22,0.19915416149774867,0.18339245050550293,0.21532953487809608,0.09252675305015245,0.78125,0.06465479859172982
28_08_D_100mm_260mm,Up_20_ERp_0.75_PH2p_0_16_50_51.mat,"ER1_0,75_log6_28.08.2025_16.50.48.tdms",6,29,28,0.24629369766973622,0.30338297145868953,0.2689405374579858,0.19616365741035638,0.537109375,0.05605091240744582
29_08_D_88mm_260mm,Up_8_ERp_0.6_PH2p_0_12_18_10.mat,"ER1_0,6_log4_29.08.2025_12.18.07.tdms",4,83,82,0.6904578398149095,0.05963434078072778,0.7040849153035653,0.05797261350402417,0.68359375,0.13875787871979334
