folder,mat_file,tdms_file,log_no,fft_f0_Hz,fft_a0_amp
01_09_D_120mm_260mm,Up_12_ERp_0.7_PH2p_0_9_14_18.mat,ER1_0.7_log4_01.09.2025_09.14.14.tdms,4,0.048828125,0.0616482846896643
01_09_D_120mm_260mm,Up_17.34_ERp_0.78_PH2p_0_9_39_20.mat,ER1_0.75_log4_01.09.2025_09.39.17.tdms,4,0.830078125,0.06229824256874757
01_09_D_120mm_260mm,Up_26_ERp_0.8_PH2p_0_10_3_14.mat,ER1_0.8_log6_01.09.2025_10.03.10.tdms,6,0.537109375,0.15138641481413673
01_09_D_120mm_260mm,LBO_Sweep_6_10_59_1.mat,ER1_0.85_log6_01.09.2025_10.58.58.tdms,6,0.927734375,0.1067256843304598
01_09_D_120mm_260mm,LBO_Sweep_5_11_1_27.mat,ER1_0.85_log5_01.09.2025_11.01.24.tdms,5,1.171875,0.09170372818947775
01_09_D_120mm_260mm,LBO_Sweep_4_11_4_19.mat,ER1_0.85_log4_01.09.2025_11.04.14.tdms,4,1.26953125,0.09047311495740264
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_27_46.mat,ER1_0.9_log6_01.09.2025_11.27.39.tdms,6,0.048828125,0.26692298990655194
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_31_27.mat,ER1_0.9_log5_01.09.2025_11.31.07.tdms,5,0.048828125,0.1288460980258855
01_09_D_120mm_260mm,Up_45_ERp_0.9_PH2p_0_11_36_3.mat,ER1_0.9_log4_01.09.2025_11.36.00.tdms,4,0.048828125,0.10406014142301295
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_53_32.mat,ER1_0.95_log6_01.09.2025_11.53.29.tdms,6,0.048828125,0.33540203466667584
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_11_56_8.mat,ER1_0.95_log5_01.09.2025_11.56.05.tdms,5,0.048828125,0.2649380454237757
01_09_D_120mm_260mm,Up_53_ERp_0.95_PH2p_0_12_0_16.mat,ER1_0.95_log4_01.09.2025_12.00.01.tdms,4,0.048828125,0.1665101598556779
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_8_56_35.mat,"ER1_0,65_Log6_03.09.2025_08.56.32.tdms",6,0.634765625,0.10004619853234574
03_09_D_88mm_350mm,Up_8_ERp_0.65_PH2p_0_9_2_21.mat,"ER1_0,65_Log4_03.09.2025_09.02.16.tdms",4,0.5859375,0.12372943082501857
03_09_D_88mm_350mm,Up_20_ERp_0.71_PH2p_0_9_4_52.mat,"ER1_0,71_Log6_04.09.2025_09.04.49.tdms",6,2.294921875,0.1262881529004282
